formula,TL,NdValence_composition_average,IsTransitionMetal_composition_average,HeatVaporization_difference,valence_difference,Trg
La62.5Al12.5Ag5Cu17.5Co2.5,712.0,3.05,0.25,148.94,1.0,0.552
La62.5Al12.5Ag5Cu17.5Fe2.5,711.0,3.025,0.25,148.94,4.0,0.5499
La62.5Al12.5Ag5Cu20,721.0,3.125,0.25,148.94,1.0,0.5395
La62.5Al12.5Cu10Ni5Co5Ag5,691.0,2.875,0.25,148.94,1.0,0.585
La62.5Al12.5Cu15Ni5Ag5,717.0,3.025,0.25,148.94,1.0,0.545
La62Al14Cu16Ag8,744.0,3.02,0.24,148.94,1.0,0.54704
La62Al14Cu17Ag7,739.0,3.02,0.24,148.94,1.0,0.5493899999999999
La62Al14Cu18Ag6,736.0,3.02,0.24,148.94,1.0,0.5516300000000001
La62Al14Cu19Ag5,730.0,3.02,0.24,148.94,1.0,0.55479
La62Al14Cu20Ag4,729.0,3.02,0.24,148.94,1.0,0.55418
La62Al14Cu22Ag2,722.0,3.02,0.24,148.94,1.0,0.5554
La62Al14Cu24,734.0,3.02,0.24,108.77,1.0,0.54632
La62Cu12Ni12Al14,744.0,2.78,0.24,108.77,1.0,0.56855
La65Al10Ag5Cu20,716.0,3.15,0.25,148.94,1.0,0.5307
La65Al14Cu9.2Ag1.8Ni5Co5,687.0,2.5,0.21,148.94,1.0,0.61
La66Al14Cu20,731.0,2.66,0.2,108.77,1.0,0.5403600000000001
Mg30Sr70,699.0,0.0,0.0,9.3,0.0,0.5579999999999999
Mg35Sr65,756.0,0.0,0.0,9.3,0.0,0.507
Mg57Cu31.5Y8Nd3.5,778.0,3.23,0.395,265.7,1.0,0.54756
Mg57Cu31.5Y9.2Nd2.3,777.0,3.242,0.40700000000000003,265.7,1.0,0.55084
Mg57Cu31Y6.6Nd5.4,778.0,3.1660000000000004,0.376,265.7,1.0,0.54884
Mg58.5Cu30.5Gd11,753.0,3.16,0.305,184.11,1.0,0.56707
Mg58.5Cu30.5Y11,762.0,3.16,0.415,265.7,1.0,0.55381
Mg59.4Cu23Ag6.6Gd11,700.0,3.07,0.29600000000000004,184.11,1.0,0.607
Mg59Cu31Gd10,769.0,3.2,0.31,184.11,1.0,0.55137
Mg60.5Cu28.5Gd11,755.0,2.96,0.285,184.11,1.0,0.56291
Mg61.5Cu29.5Gd9,785.0,3.04,0.295,184.11,1.0,0.5515899999999999
Mg61Cu28Gd11,737.0,2.91,0.28,184.11,1.0,0.5725899999999999
Mg61Cu29Gd10,762.0,3.0,0.29,184.11,1.0,0.55118
Mg62.5Cu26.5Gd11,748.0,2.76,0.265,184.11,1.0,0.57086
Mg63.5Cu27.5Gd9,773.0,2.84,0.275,184.11,1.0,0.54981
Mg63Cu27Gd10,755.0,2.8,0.27,184.11,1.0,0.5536399999999999
Mg64.5Cu24.5Gd11,739.0,2.56,0.245,184.11,1.0,0.55886
Mg65.5Cu25.4Gd9,741.0,2.632632633,0.25425425399999996,184.11,1.0,0.55466
Mg65Cu15Ag10Er10,733.0,2.5,0.25,172.9,1.0,0.58254
Mg65Cu15Ag10Gd10,686.0,2.6,0.25,184.11,1.0,0.60641
Mg65Cu15Ag10Y10,694.0,2.6,0.35,265.7,1.0,0.616714697
Mg65Cu15Ag10Y2Gd8,683.0,2.6,0.27,265.7,1.0,0.61493
Mg65Cu15Ag10Y4Gd6,682.0,2.6,0.29,265.7,1.0,0.6217
Mg65Cu15Ag10Y6Gd4,685.0,2.6,0.31,265.7,1.0,0.623357664
Mg65Cu15Ag10Y8Gd2,690.0,2.6,0.33,265.7,1.0,0.620289855
Mg65Cu15Ag5Pd5Gd10,748.0,2.6,0.25,265.7,2.0,0.57487
Mg65Cu20Ni5Gd10,786.0,2.5,0.25,249.9,1.0,0.534351145
Mg65Cu25Dy10,750.0,2.5,0.25,172.9,1.0,0.56267
Mg65Cu25Er10,766.0,2.5,0.25,172.9,1.0,0.55091
Mg65Cu25Gd10,740.0,2.6,0.25,184.11,1.0,0.57162
Mg65Cu25Gd5Y5,755.0,2.6,0.3,265.7,1.0,0.54702
Mg65Cu25Ho10,751.0,2.5,0.25,172.9,1.0,0.5552600000000001
Mg65Cu25Nd10,744.0,2.5,0.25,172.9,1.0,0.56855
Mg65Cu25Pr10,784.0,2.5,0.25,205.03,1.0,0.52679
Mg65Cu25Tb10,733.0,2.5,0.25,172.9,2.0,0.564802183
Mg65Cu25Tb7Y3,736.0,2.53,0.28,265.7,2.0,0.565217391
Mg65Cu25Tb8Y2,734.0,2.52,0.27,265.7,2.0,0.568119891
Mg65Cu25Tb9Y,732.0,2.51,0.26,265.7,2.0,0.568306011
Mg65Cu25Y10,760.0,2.6,0.35,265.7,1.0,0.54342
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,726.0,2.45,0.25,262.2,1.0,0.60606
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,735.0,2.45,0.325,278.0,1.0,0.58912
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,718.0,2.45,0.3,278.0,1.0,0.60446
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,719.0,2.45,0.275,278.0,1.0,0.60918
Mg65Cu7.5Ni7.5Zn5Ag5Y10,717.0,2.45,0.35,278.0,1.0,0.59414
Mg65Ni20Nd15,805.0,1.6,0.2,249.9,1.0,0.57019
Mg65Zr35,616.0,0.7,0.35,462.9,2.0,0.583
Mg70Ni15Nd15,844.0,1.2,0.15,249.9,1.0,0.55332
Mg75Ni15Nd10,790.0,1.2,0.15,249.9,1.0,0.56962
Mg77Ni18Nd5,887.0,1.44,0.18,249.9,1.0,0.48365
Mg80Ni10Nd10,878.0,0.8,0.1,249.9,1.0,0.51708
Mg90Ni5Nd5,919.0,0.4,0.05,249.9,1.0,0.46355
Nb38Ni62,1473.0,6.48,1.0,312.6,2.0,0.606
Nd60Al15Ni10Cu10Fe5,779.0,2.1,0.25,93.82,4.0,0.552
Nd60Fe30Al10,958.0,1.8,0.3,65.82,3.0,0.617
Nd61Al11Ni8Co5Cu15,744.0,2.49,0.28,93.82,1.0,0.598
Ni28Zr72,1313.0,3.68,1.0,213.0,1.0,0.489
Ni37Zr63,1313.0,4.22,1.0,213.0,1.0,0.5329999999999999
Ni40Zr60,1413.0,4.4,1.0,213.0,1.0,0.505
Ni42Ti19Zr22.5Al8Cu5Si3.5,1363.0,4.69,0.885,299.7,2.0,0.57227
Ni42Ti20Zr20.5Al8Cu5Si4.5,1364.0,4.67,0.875,299.7,2.0,0.55938
Ni42Ti20Zr21.5Al8Cu5Si3.5,1366.0,4.69,0.885,299.7,2.0,0.56662
Ni42Ti20Zr22.5Al8Cu5Si2.5,1367.0,4.71,0.895,299.7,2.0,0.56108
Ni42Ti20Zr25Al8Cu5,1366.0,4.76,0.92,299.7,2.0,0.5475800000000001
Ni43.2Fe28.8B19.2Si4.8Nb4,1348.0,5.343999999999999,0.76,340.6,3.0,0.5529999999999999
Ni50.4Fe21.6B19.2Si4.8Nb4,1356.0,5.4879999999999995,0.76,340.6,3.0,0.5529999999999999
Ni57.6Fe14.4B19.2Si4.8Nb4,1381.0,5.632000000000001,0.76,340.6,3.0,0.547
Ni59Zr16Ti13Si3Sn2Nb7,1301.0,5.78,0.95,399.73,2.0,0.6495
Ni59Zr20Ti16Si2Sn3,1272.0,5.74,0.95,300.13,1.0,0.64544
Ni59Zr20Ti16Si5,1304.0,5.44,0.95,231.5,1.0,0.6365
Ni59Zr20Ti16Sn5,1288.0,5.94,0.95,300.13,1.0,0.6358699999999999
Ni60Nb20Zr20,1391.0,6.0,1.0,312.6,2.0,0.61323
Ni60Nb25Zr15,1390.0,6.1,1.0,312.6,2.0,0.61871
Ni60Nb30Ta10,1559.0,6.3,1.0,359.5,2.0,0.5991
Ni60Nb30Zr10,1413.0,6.2,1.0,312.6,2.0,0.61925
Ni60Nb35Zr5,1458.0,6.3,1.0,312.6,2.0,0.60837
Ni60Nb40,1484.0,6.4,1.0,312.6,2.0,0.62871
Ni60Zr20Ti2.5Nb12.5Al5,1378.0,5.75,0.95,399.3,2.0,0.6067
Ni60Zr20Ti5Nb10Al5,1379.0,5.7,0.95,399.3,2.0,0.599
Ni60Zr20Ti7.5Nb7.5Al5,1385.0,5.65,0.95,399.3,2.0,0.595
Ni61Zr22Nb7Al4Ta6,1379.0,5.78,0.96,446.2,2.0,0.62872
Ni61Zr28Nb7Al4,1348.0,5.72,0.96,399.3,2.0,0.62908
Ni64.8Fe7.2B19.2Si4.8Nb4,1408.0,5.776,0.76,340.6,3.0,0.541
Ni64Zr36,1343.0,5.84,1.0,213.0,1.0,0.621
Ni65Zr35,1353.0,5.9,1.0,213.0,1.0,0.611
Ni66Zr34,1393.0,5.96,1.0,213.0,1.0,0.617
Ni69Cr8.5Nb3P13.5B6,1243.0,6.065,0.805,677.7,3.0,0.54
Ni69Cr8.5Nb3P14.5B5,1214.0,6.065,0.805,677.7,3.0,0.55
Ni69Cr8.5Nb3P15.5B4,1187.0,6.065,0.805,677.7,3.0,0.563
Ni69Cr8.5Nb3P16.5B3,1134.0,6.065,0.805,677.7,3.0,0.589
Ni69Cr8.5Nb3P18B1.5,1134.0,6.065,0.805,677.7,3.0,0.586
Ni69Cr8.5Nb3P19.5,1136.0,6.065,0.805,677.7,3.0,0.581
Ni72B19.2Si4.8Nb4,1446.0,5.92,0.76,331.1,2.0,0.5329999999999999
Ni75Si8B17,1419.0,6.0,0.75,148.8,1.0,0.583
Pd16Ni64P20,1048.0,6.72,0.8,380.9,2.0,0.541
Pd30Zr70,1343.0,4.4,1.0,197.2,0.0,0.506
Pd37.5Cu30Ni12.5P20,929.0,7.75,0.8,380.9,3.0,0.6157199999999999
Pd40Cu20Ni10P20,862.0,7.555555556,0.7777777779999999,380.9,3.0,0.67
Pd40Cu25Ni15P20,910.0,7.7,0.8,380.9,3.0,0.65495
Pd40Cu30Ni10P20,856.0,7.8,0.8,380.9,3.0,0.68458
Pd40Cu32.5Ni7.5P20,932.0,7.85,0.8,380.9,3.0,0.60944
Pd40Ni40P19S,884.0,7.2,0.8,383.3,3.0,0.6409999999999999
Pd40Ni40P20,905.0,7.2,0.8,380.9,2.0,0.63536
Pd42.5Cu27.5Ni10P20,871.0,7.8,0.8,380.9,3.0,0.6704899999999999
Pd42.5Cu30Ni7.5P20,834.0,7.85,0.8,380.9,3.0,0.68825
Pd45Cu25Ni10P20,884.0,7.8,0.8,380.9,3.0,0.67308
Pd45Cu30Ni5P20,861.0,7.9,0.8,380.9,3.0,0.67015
Pd48Ni32P20,923.0,7.36,0.8,380.9,2.0,0.612
Pd64.5Cu19Si16.5,1234.3,8.35,0.835,92.8,2.0,0.519
Pd64Ni16P20,983.0,7.68,0.8,380.9,2.0,0.5710000000000001
Pd71.5Cu12Si16.5,1154.0,8.35,0.835,92.8,2.0,0.56499
Pd73.5Cu10Si16.5,1136.0,8.35,0.835,92.8,2.0,0.5677800000000001
Pd75Si25,1343.0,7.5,0.75,34.3,0.0,0.48846000000000006
Pd77.5Cu6Si16.5,1058.0,8.35,0.835,92.8,2.0,0.6020800000000001
Pd77Cu6Si17,1128.0,8.3,0.83,92.8,2.0,0.56915
Pd79.5Au4Si16.5,1040.0,8.35,0.835,68.87,1.0,0.596
Pd79.5Cu4Si16.5,1086.0,8.35,0.835,92.8,2.0,0.5847100000000001
Pd79Cu2Ag4Si10P5,1006.0,8.5,0.85,380.9,3.0,0.60736
Pd79Cu3Ag3Si10P5,1005.0,8.5,0.85,380.9,3.0,0.60697
Pd79Cu4Ag2Si10P5,1005.0,8.5,0.85,380.9,3.0,0.60995
Pd79Cu5AgSi10P5,1001.0,8.5,0.85,380.9,3.0,0.61339
Pd79Cu6Si10P5,995.0,8.5,0.85,380.9,3.0,0.61206
Pd80Si20,1220.0,8.0,0.8,34.3,0.0,0.537
Pd81.5Cu2Si16.5,1097.3,8.35,0.835,92.8,2.0,0.5770000000000001
Pd81.5Cu2Si6.5,1097.0,9.277777777999999,0.9277777779999999,92.8,2.0,0.57703
Pd81Si19,1128.0,8.1,0.81,34.3,0.0,0.562
Pd82Si18,1071.0,8.2,0.82,34.3,0.0,0.6050399999999999
Pd83Si17,1092.0,8.3,0.83,34.3,0.0,0.579
Pd84Si16,1108.0,8.4,0.84,34.3,0.0,0.573
Pd95Si5,1688.0,9.5,0.95,34.3,0.0,0.38329
Pr60Fe30Al10,950.1,1.8,0.3,58.7,3.0,0.605
Pr68Cu25Al7,705.0,2.5,0.25,41.83,1.0,0.54184
Pt42.5Cu27Ni59.5P21,873.0,7.523333332999999,0.86,498.05,3.0,0.5899198170000001
Pt57.5Cu14.7Ni5.3P22.5,795.0,7.069,0.775,498.05,3.0,0.638993711
Pt60Cu16Co2P22,881.0,7.14,0.78,498.05,3.0,0.574347333
Sc36Al24Co20Y20,1048.0,1.96,0.76,102.5,0.0,0.631679389
Sm40Al25Co20Y15,950.0,1.55,0.35,201.67,0.0,0.621052632
Sm60Fe30Al10,946.6,1.8,0.3,157.87,3.0,0.626
Sr75Zn25,738.0,2.5,0.25,21.6,0.0,0.515
Tb36Al24Co20Y20,1021.0,1.6,0.4,102.5,1.0,0.606268364
Ti34Zr11Cu47Ni8,1169.2,6.24,1.0,290.0,2.0,0.59733
Ti40Zr10Cu30Pd20,1279.0,6.0,1.0,290.0,2.0,0.53714
Ti40Zr10Cu32Pd18,1272.0,6.0,1.0,290.0,2.0,0.53695
Ti40Zr10Cu34Pd16,1231.0,6.0,1.0,290.0,2.0,0.5459
Ti40Zr10Cu36Pd14,1191.0,6.0,1.0,290.0,2.0,0.5617
Ti40Zr10Cu38Pd12,1189.0,6.0,1.0,290.0,2.0,0.5601
Ti40Zr10Cu40Pd10,1184.0,6.0,1.0,290.0,2.0,0.55743
Ti40Zr25Ni8Cu9Be18,1009.0,2.84,0.82,293.5,2.0,0.61546
Ti41.5Zr2.5Hf5Cu37.5Ni7.5SiSn5,1176.0,5.83,0.94,370.7,2.0,0.58954
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si,1199.0,5.83,0.99,360.57,2.0,0.56714
Ti42.5Zr2.5Hf5Cu42.5Ni7.5,1203.0,5.85,1.0,360.57,2.0,0.56276
Ti45Ni15Cu25Sn3Be7Zr5,1142.0,5.0,0.9,300.13,2.0,0.59545
Ti47.5Zr2.5Cu42.5Ni7.5,1225.0,5.85,1.0,290.0,2.0,0.5493899999999999
Ti50Cu42.5Ni7.5,1226.0,5.85,1.0,124.7,2.0,0.5464899999999999
Ti50Ni15Cu25Sn3Be7,1207.0,5.0,0.9,134.83,2.0,0.57001
Ti50Ni15Cu32Sn3,1283.0,5.7,0.97,134.83,2.0,0.53
Ti50Ni24Cu20BSi2Sn3,1310.0,5.22,0.94,217.43,2.0,0.5542
Ti50Ni30Cu32Sn3,1283.0,6.0,0.9739130429999999,134.83,2.0,0.53468
Ti50Zr15Cu9Ni8Be18,1009.0,2.84,0.82,293.5,2.0,0.61645
Ti53Cu15Ni18.5Al7Si3Hf3B0.5,1230.0,4.1,0.895,370.27,2.0,0.56504
Ti53Cu15Ni18.5Al7Si3Sc3B0.5,1240.0,4.07,0.895,217.0,2.0,0.57177
Ti55Zr10Cu9Ni8Be18,1013.0,2.84,0.82,293.5,2.0,0.62093
Ti60Zr5Be18Cu9Ni8,1085.0,2.84,0.82,293.5,2.0,0.588
Ti63Be37,1353.0,1.26,0.63,128.2,2.0,0.49741
Ti65Be18Cu9Ni8,1136.0,2.84,0.82,128.2,2.0,0.5579999999999999
Y36Sc20Al24Co10Ni10,1010.0,2.06,0.76,102.5,0.0,0.63861
Y36Sc20Al24Co20,1034.0,1.96,0.76,102.5,0.0,0.62379
Y56Al24Co20,1078.0,1.96,0.76,102.5,0.0,0.5899800000000001
Y60Fe30Al10,1225.4,2.4,0.9,102.5,3.0,0.467
Zr26Ti10Cu8Ni8Be20Y4Mg24,951.0,2.2,0.56,462.9,2.0,0.6834899999999999
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,1029.0,2.82,0.68,562.5,4.0,0.65112
Zr36Nb12Cu10Ni8Be20Y2Mg12,1029.0,2.86,0.68,562.5,3.0,0.6346
Zr38.5Ti16.5Ni9.75Cu15.25Be20,1003.0,3.405,0.8,293.5,2.0,0.62812
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,1006.0,3.2754,0.7875,293.5,2.0,0.62525
Zr40Ti15Cu11Ni11Be21.5YMg0.5,975.0,3.09,0.78,462.9,2.0,0.64615
Zr41.2Ti13.8Cu12.5Ni10Be22.5,996.0,3.15,0.775,293.5,2.0,0.6255
Zr41Ti14Cu12.5Ni2Be22.5C8,992.0,2.51,0.695,418.0,2.0,0.63407
Zr41Ti14Cu12.5Ni8Be22.5C2,997.0,2.99,0.755,418.0,2.0,0.62989
Zr42.63Ti12.37Cu11.25Ni10Be23.75,1057.0,3.025,0.7625,293.5,2.0,0.5894
Zr44Cu51Al5,1189.0,5.98,0.95,299.7,2.0,0.605
Zr44Ti11Cu10Ni10Be25,1206.0,2.9,0.75,293.5,2.0,0.5182399999999999
Zr45.38Ti9.62Cu8.75Ni10Be26.25,1239.0,2.775,0.7375,293.5,2.0,0.5028199999999999
Zr45Cu47Al8,1195.0,5.6,0.92,299.7,2.0,0.604
Zr45Cu48Al7,1188.0,5.7,0.93,299.7,2.0,0.606
Zr45Cu49Al6,1178.0,5.8,0.94,299.7,2.0,0.609
Zr46.25Ti8.25Cu7.5Ni10Be27.5,1185.0,2.653266332,0.72361809,293.5,2.0,0.525
Zr46.75Ti8.25Cu7.5Ni10Be27.5,1185.0,2.65,0.725,293.5,2.0,0.52489
Zr46.75Ti8.25Cu8.25Ni10Be275,1050.0,0.7824838479999999,0.210337401,293.5,2.0,0.5670000000000001
Zr46Cu44Al10,1223.0,5.32,0.9,299.7,2.0,0.594
Zr46Cu49Al5,1193.0,5.82,0.95,299.7,2.0,0.596
Zr47Cu45Al8,1218.0,5.44,0.92,299.7,2.0,0.586
Zr47Cu49Al4,1204.0,5.84,0.96,299.7,2.0,0.585
Zr48Cu34Pd2Ag8Al8,1140.0,5.36,0.92,339.87,2.0,0.613
Zr48Cu36Ag8Al8,1143.0,5.36,0.92,339.87,2.0,0.604
Zr48Cu37Al7Ag8,1125.0,5.46,0.93,339.87,2.0,0.62044
Zr48Cu40Al7Ag5,1121.0,5.46,0.93,339.87,2.0,0.62355
Zr48Cu42Al7Ag3,1135.0,5.46,0.93,339.87,2.0,0.61674
Zr48Cu43Al7Ag2,1152.0,5.46,0.93,339.87,2.0,0.60764
Zr48Cu46Al6,1192.0,5.56,0.94,299.7,2.0,0.5920000000000001
Zr48Nb8Cu12Fe8Be24,1071.0,2.96,0.76,393.1,4.0,0.61438
Zr48Nb8Cu14Ni12Be18,1072.0,3.64,0.82,393.1,3.0,0.6119399999999999
Zr49Cu44Al7,1184.0,5.38,0.93,299.7,2.0,0.595
Zr49Cu45Al6,1187.0,5.48,0.94,299.7,2.0,0.593
Zr49Cu46Al5,1195.0,5.58,0.95,299.7,2.0,0.5870000000000001
Zr49Cu47Al4,1208.0,5.68,0.96,299.7,2.0,0.5770000000000001
Zr50Cu36Al14,1188.0,4.6,0.86,299.7,2.0,0.609
Zr50Cu38Ag12,1187.0,6.0,1.0,339.87,2.0,0.5586
Zr50Cu38Al12,1170.0,4.8,0.88,299.7,2.0,0.617
Zr50Cu40Ag10,1177.0,6.0,1.0,339.87,2.0,0.5667
Zr50Cu40Al10,1176.0,5.0,0.9,299.7,2.0,0.607
Zr50Cu43Ag7,1171.0,6.0,1.0,339.87,2.0,0.5713
Zr50Cu43Al7,1181.0,5.3,0.93,299.7,2.0,0.595
Zr50Cu45Ag5,1188.0,6.0,1.0,339.87,2.0,0.5631
Zr50Cu48Ag2,1192.0,6.0,1.0,339.87,2.0,0.5604
Zr51Cu20.7Ni12Al16.3,1132.0,4.05,0.8370000000000001,299.7,2.0,0.63781
Zr52.5Cu17.9Ni14.5Al10Ti5,1091.0,4.104104104,0.8998999,299.7,2.0,0.606
Zr52Cu38Al10,1181.0,4.84,0.9,299.7,2.0,0.606
Zr53Al14Ni10Cu19Y4,1069.0,3.8,0.86,299.7,2.0,0.62488
Zr54Al15Ni10Cu19Y2,1112.0,3.8,0.85,299.7,2.0,0.6420899999999999
Zr54Cu36Al10,1176.0,4.68,0.9,299.7,2.0,0.594
Zr54Cu38Al8,1190.0,4.88,0.92,299.7,2.0,0.581
Zr54Cu40Al6,1216.0,5.08,0.94,299.7,2.0,0.56
Zr55Al20Co25,1245.0,2.85,0.8,299.7,1.0,0.61124
Zr55Cu35Al10,1144.0,4.6,0.9,299.7,2.0,0.601
Zr56Cu36Al8,1212.0,4.72,0.92,299.7,2.0,0.565
Zr57Nb5Cu15.4Ni12.6Al10,1115.0,3.888,0.9,399.3,3.0,0.604
Zr57Ti5Al10Cu20Ni8,1145.2,3.88,0.9,299.7,2.0,0.5909
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,1101.0,3.866,0.897,399.3,3.0,0.605
Zr58Cu36Al6,1245.0,4.76,0.94,299.7,2.0,0.539
Zr60Cu30Al10,1151.0,4.2,0.9,299.7,2.0,0.583
Zr60Cu40Al10,1123.0,4.727272727,0.9090909090000001,299.7,2.0,0.619
Zr63.8Al11.4Ni17.2Cu7.6,1153.0,3.412,0.8859999999999999,299.7,2.0,0.5820000000000001
Zr64.5Al9.2Ni13.2Cu13.1,1138.0,3.656,0.9079999999999999,299.7,2.0,0.578
Zr64.8Al8.3Ni11.4Cu15.5,1143.0,3.758,0.917,299.7,2.0,0.5720000000000001
Zr65.3Al6.5Ni8.2Cu20,1188.0,3.9619999999999997,0.935,299.7,2.0,0.539
Zr65.5Al5.6Ni6.5Cu22.4,1211.0,4.07,0.9440000000000001,299.7,2.0,0.52023
Zr65Al7.5Cu17.5Ni10,1167.6,3.85,0.925,299.7,2.0,0.56226
Zr65Be35,1238.0,1.3,0.65,293.5,2.0,0.5032300000000001
Zr66Al8Cu12Ni14,1172.1,3.64,0.92,299.7,2.0,0.55891
Zr66Al8Cu7Ni19,1200.8,3.54,0.92,299.7,2.0,0.55155
Zr66Al8Ni26,1251.0,3.4,0.92,299.7,1.0,0.53717
Zr66Al9Cu16Ni9,1170.6,3.64,0.91,299.7,2.0,0.56142
